Date,Subs,Name,Views
2012-01-06,1142,Fine Bros,0
2012-01-07,2441,Fine Bros,0
2012-01-08,2426,Fine Bros,0
2012-01-09,1924,Fine Bros,465010
2012-01-10,1451,Fine Bros,2765455
2012-01-11,-39230,Fine Bros,476403
2012-01-12,1289,Fine Bros,0
2012-01-13,1436,Fine Bros,549546
2012-01-14,2014,Fine Bros,511697
2012-01-15,2351,Fine Bros,540646
2012-01-16,2114,Fine Bros,1043335
2012-01-17,1390,Fine Bros,0
2012-01-18,1006,Fine Bros,754112
2012-01-19,909,Fine Bros,946970
2012-01-20,1146,Fine Bros,259812
2012-01-21,1085,Fine Bros,637124
2012-01-22,1131,Fine Bros,0
2012-01-23,1485,Fine Bros,437094
2012-01-24,1288,Fine Bros,878785
2012-01-25,907,Fine Bros,647321
2012-01-26,494,Fine Bros,510987
2012-01-27,596,Fine Bros,0
2012-01-28,402,Fine Bros,752411
2012-01-29,545,Fine Bros,576295
2012-01-30,843,Fine Bros,0
2012-01-31,706,Fine Bros,692815
2012-02-01,117,Fine Bros,440823
2012-02-02,227,Fine Bros,250361
2012-02-03,479,Fine Bros,0
2012-02-04,225,Fine Bros,0
2012-02-05,765,Fine Bros,0
2012-02-06,1125,Fine Bros,0
2012-02-07,984,Fine Bros,745262
2012-02-08,776,Fine Bros,342978
2012-02-09,916,Fine Bros,0
2012-02-10,999,Fine Bros,0
2012-02-11,1875,Fine Bros,1403975
2012-02-12,1191,Fine Bros,547677
2012-02-13,1240,Fine Bros,619517
2012-02-14,1670,Fine Bros,376009
2012-02-15,1408,Fine Bros,0
2012-02-16,985,Fine Bros,0
2012-02-17,1123,Fine Bros,0
2012-02-18,1301,Fine Bros,1011736
2012-02-19,1543,Fine Bros,0
2012-02-20,1523,Fine Bros,0
2012-02-21,1530,Fine Bros,0
2012-02-22,902,Fine Bros,3692112
2012-02-23,866,Fine Bros,498428
2012-02-24,1199,Fine Bros,339818
2012-02-25,1221,Fine Bros,355980
2012-02-26,975,Fine Bros,754800
2012-02-27,1117,Fine Bros,0
2012-02-28,996,Fine Bros,664795
2012-02-29,839,Fine Bros,417638
2012-03-01,699,Fine Bros,0
2012-03-02,814,Fine Bros,0
2012-03-03,639,Fine Bros,0
2012-03-04,1144,Fine Bros,274594
2012-03-05,1031,Fine Bros,673407
2012-03-06,1384,Fine Bros,886037
2012-03-07,809,Fine Bros,0
2012-03-08,466,Fine Bros,0
2012-03-09,727,Fine Bros,0
2012-03-10,807,Fine Bros,0
2012-03-11,717,Fine Bros,0
2012-03-12,890,Fine Bros,2582782
2012-03-13,799,Fine Bros,1043958
