"","X","per","ts_pct","usg_pct","bpm","vorp","age","win_pct","g","pts_per_g","trb_per_g","ast_per_g","stl_per_g","blk_per_g","fg_pct","fg3_pct","ft_pct","ws","ws_per_48"
"131",130,18.6,0.564,18.6,5.3,5,27,0.695121951219512,80,14.3,5,7.8,2.1,0.9,0.488,0.182,0.806,9.8,0.174
"132",131,19.5,0.563,20.9,6.6,6.2,23,0.426829268292683,82,17,6.3,5.5,3.7,0.5,0.514,0.276,0.795,8.6,0.143
"133",132,24.6,0.629,30,4.9,4.8,29,0.51219512195122,76,29.8,5.2,3.5,0.8,0.1,0.563,0.091,0.791,12.8,0.223
"134",133,15.1,0.565,18.1,0.8,2.2,25,0.475609756097561,82,15.9,12,1.6,0.9,1.2,0.523,0,0.676,6.8,0.106
"135",134,14.7,0.509,20.5,0.7,1.8,31,0.817073170731707,78,15.6,3.4,5.8,1.4,0.4,0.455,0.143,0.818,6.7,0.118
"136",135,27,0.602,26.3,8.1,7.4,27,0.792682926829268,80,23.9,6.3,12.2,1.7,0.5,0.522,0.205,0.848,15.9,0.263
"137",136,29.8,0.562,38.3,8.6,8.8,23,0.48780487804878,82,37.1,5.2,4.6,2.9,1.5,0.482,0.182,0.857,16.9,0.247
"138",137,26.4,0.612,27.5,9.2,8.5,30,0.719512195121951,74,28.1,9.2,7.6,1.8,0.9,0.525,0.4,0.91,15.2,0.243
"139",138,24,0.655,24.1,5.2,5.6,29,0.719512195121951,77,26.1,9.9,2.6,0.5,2.2,0.604,0,0.836,14.8,0.232
"140",139,23.5,0.543,32.3,4.9,5.2,27,0.695121951219512,79,29,6.3,3.3,1.5,0.6,0.463,0.292,0.818,12.2,0.197
"141",140,25.1,0.66,23.1,9.2,7.7,23,0.548780487804878,68,23,14.6,4.9,1.8,1.5,0.594,0.202,0.761,12,0.21
"142",141,23.8,0.554,26.8,6.6,6,24,0.51219512195122,75,23.4,11.4,2.9,1.9,3.4,0.508,0.2,0.702,10.9,0.189
"143",142,18.8,0.528,25.9,3,3.8,25,0.634146341463415,81,20.6,3.9,10,1.9,0.2,0.463,0.194,0.768,7.6,0.121
