year,state,totals,pop_est
2013,New Hampshire,147726,1326622
2013,New Jersey,120071,8856972
2013,New Mexico,156333,2092273
2013,New York,353064,19624447
2013,North Carolina,574622,9843336
2013,North Dakota,85812,722036
2013,Ohio,680930,11576684
2013,Oklahoma,380634,3853214
2013,Oregon,274302,3922468
2013,Pennsylvania,1044731,12776309
2013,Puerto Rico,16968,3593077
2013,Rhode Island,26666,1055081
2013,South Carolina,335695,4764080
2013,South Dakota,92055,842316
2013,Tennessee,600869,6494340
2013,Texas,1633278,26480266
2013,Utah,324604,2897640
2013,Vermont,36135,626210
2013,Virgin Islands,1134,[]
2013,Virginia,498426,8252427
2013,Washington,561122,6963985
2013,West Virginia,248952,1853914
2013,Wisconsin,434688,5736754
2013,Wyoming,70671,582122
2014,Alabama,621305,4841799
2014,Alaska,87623,736283
2014,Arizona,310672,6730413
2014,Arkansas,234282,2967392
2014,California,1474616,38596972
2014,Colorado,413284,5350101
2014,Connecticut,270297,3594524
2014,Delaware,42950,932487
2014,District of Columbia,512,662328
2014,Florida,1034546,19845911
2014,Georgia,484580,10067278
2014,Guam,2060,[]
2014,Hawaii,15225,1414538
2014,Idaho,131742,1631112
2014,Illinois,1344096,12884493
2014,Indiana,647550,6593644
2014,Iowa,127022,3109350
2014,Kansas,172167,2900475
2014,Kentucky,2492184,4414349
2014,Louisiana,315357,4644013
2014,Maine,83085,1330513
2014,Mariana Islands,12,[]
2014,Maryland,142207,5957283
2014,Massachusetts,179344,6762596
2014,Michigan,424091,9929848
2014,Minnesota,481122,5451079
2014,Mississippi,214829,2990468
2014,Missouri,517063,6056202
2014,Montana,121836,1021869
2014,Nebraska,68568,1879321
2014,Nevada,116735,2817628
2014,New Hampshire,124677,1333341
2014,New Jersey,92320,8864525
2014,New Mexico,139780,2089568
2014,New York,365427,19651049
2014,North Carolina,1182349,9932887
2014,North Dakota,70548,737401
2014,Ohio,596389,11602700
2014,Oklahoma,348495,3878187
2014,Oregon,243044,3963244
2014,Pennsylvania,899241,12788313
2014,Puerto Rico,16118,3534874
2014,Rhode Island,20400,1055936
2014,South Carolina,289764,4823617
2014,South Dakota,83659,849129
2014,Tennessee,533394,6541223
2014,Texas,1465992,26964333
2014,Utah,263812,2936879
2014,Vermont,31502,625214
2014,Virgin Islands,1271,[]
2014,Virginia,419764,8310993
2014,Washington,482115,7054655
2014,West Virginia,221847,1849489
2014,Wisconsin,334308,5751525
2014,Wyoming,63063,582531
2015,Alabama,737509,4852347
2015,Alaska,85621,737498
2015,Arizona,331442,6829676
